Nr wiersza;Nr zamówienia;Priorytet zamówienia;Data zamówienia;Data wysy³ki;Rodzaj transportu;Rodzaj opakowania;Segment rynku;Klient;Nr klienta;Region;Województwo;Miasto;Kod pocztowy;Kategoria produktu;Podkategoria produktu;Nazwa produktu;Sprzeda¿;Iloœæ;Rabat procentowy;Zysk
23;PL-2021-008419;nieokreœlony;01.10.2021;03.10.2021;ekspresowy;ma³e pude³ko;ma³a firma;Jadwiga Firlecka;K02498;pó³nocny;kujawsko-pomorskie;Bydgoszcz;85-112;Artyku³y biurowe;Urz¹dzenia;Acco Six-Outlet Power Strip, 4' Cord Length;60,34;7;0;15,6884
24;PL-2021-008419;œredni;01.10.2021;02.10.2021;standardowy;ma³e pude³ko;ma³a firma;Rafa³ Forbek;K02498;pó³nocny;kujawsko-pomorskie;Bydgoszcz;85-112;Meble;Krzes³a;Global Deluxe Stacking Chair, Gray;71,372;2;0,3;-1,0196
28;PL-2021-009062;nieokreœlony;22.03.2021;23.03.2021;standardowy;worek;osoba fizyczna;Jadwiga Gilecka;K01193;po³udniowy;œl¹skie;Ruda Œl¹ska;41-717;Meble;Rega³y;Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish;3083,43;7;0,5;-1665,0522
29;PL-2021-009062;niski;22.03.2021;25.03.2021;standardowy;opakowanie;osoba fizyczna;Rafa³ Grater;K01193;po³udniowy;œl¹skie;Ruda Œl¹ska;41-717;Artyku³y biurowe;Segregatory;Avery Recycled Flexi-View Covers for Binding Systems;9,618;2;0,7;-7,0532
31;PL-2021-009344;krytyczny;08.12.2021;10.12.2021;standardowy;du¿e pude³ko;osoba fizyczna;Pelagia Greczyn;K00699;po³udniowy;ma³opolskie;Kraków;31-101;Artyku³y biurowe;Koperty;Poly String Tie Envelopes;3,264;2;0,2;1,1016
32;PL-2021-009344;wysoki;08.12.2021;08.12.2021;standardowy;ma³e pude³ko;osoba fizyczna;Barbara Griczan;K00699;po³udniowy;ma³opolskie;Kraków;31-101;Artyku³y biurowe;Sztuka;BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain;86,304;6;0,2;9,7092
37;PL-2021-000835;krytyczny;09.10.2021;10.10.2021;standardowy;ma³e pude³ko;ma³a firma;Barbara Jagiel;K01106;wschodni;lubelskie;Lublin;20-240;Meble;Umeblowanie;Electrix Architect's Clamp-On Swing Arm Lamp, Black;190,92;5;0,6;-147,963
56;PL-2021-010944;œredni;14.11.2021;16.11.2021;standardowy;œrednie pude³ko;ma³a firma;Janusz Kurant;K02382;centralny;mazowieckie;Warszawa;00-446;Artyku³y biurowe;Magazynowanie;Home/Office Personal File Carts;208,56;6;0;52,14
66;PL-2021-011425;œredni;24.06.2021;25.06.2021;standardowy;ma³e pude³ko;osoba fizyczna;Micha³ Lipecki;K02571;centralny;mazowieckie;Warszawa;00-542;Meble;Umeblowanie;Luxo Economy Swing Arm Lamp;79,76;4;0;22,3328
67;PL-2021-011425;krytyczny;24.06.2021;26.06.2021;ekspresowy;ma³e pude³ko;osoba fizyczna;Ewa Masztaler;K02571;centralny;mazowieckie;Warszawa;00-542;Meble;Krzes³a;Global Value Mid-Back Manager's Chair, Gray;213,115;5;0,3;-15,2225
70;PL-2021-011651;krytyczny;24.02.2021;26.02.2021;ekspresowy;worek;ma³a firma;Jadwiga Milecka;K01228;pó³nocno-zachodni;wielkopolskie;Poznañ;61-813;Artyku³y biurowe;Papier;Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate;75,88;2;0;35,6636
78;PL-2021-011876;nieokreœlony;05.07.2021;08.07.2021;standardowy;œrednie pude³ko;biuro;Elwira Policzawska;K01745;po³udniowo-zachodni;dolnoœl¹skie;Legnica;59-220;Artyku³y biurowe;Magazynowanie;SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h;27,24;3;0,2;2,724
79;PL-2021-011968;niski;18.03.2021;18.03.2021;standardowy;worek;korporacja;Pawe³ Policzewski;K00698;pó³nocny;warmiñsko-mazurskie;Olsztyn;10-464;Meble;Umeblowanie;Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak;19,3;5;0,6;-14,475
84;PL-2021-012320;œredni;22.12.2021;24.12.2021;kolejowy;wielkie pud³o;korporacja;Barbara Sadurski;K03289;po³udniowy;ma³opolskie;Kraków;31-020;Artyku³y biurowe;Koperty;Jet-Pak Recycled Peel 'N' Seal Padded Mailers;200,984;7;0,2;62,8075
90;PL-2021-012868;nieokreœlony;03.03.2021;04.03.2021;standardowy;worek;osoba fizyczna;Robert Surmak;K02403;centralny;³ódzkie;£ódŸ;90-147;Artyku³y biurowe;Sztuka;Turquoise Lead Holder with Pocket Clip;20,1;3;0;6,633
91;PL-2021-012868;wysoki;03.03.2021;05.03.2021;standardowy;worek;osoba fizyczna;Wiktor Suwald;K02403;centralny;³ódzkie;£ódŸ;90-147;Technologia;Telefony;Panasonic Kx-TS550;73,584;2;0,2;8,2782
92;PL-2021-012897;nieokreœlony;20.07.2021;21.07.2021;standardowy;ma³e pude³ko;korporacja;Micha³ Szerka;K01129;po³udniowy;œl¹skie;Rybnik;44-251;Artyku³y biurowe;Papier;Xerox 1995;6,48;1;0;3,1104
93;PL-2021-012897;œredni;20.07.2021;21.07.2021;ekspresowy;ma³e pude³ko;korporacja;Tadeusz Tomora;K01129;po³udniowy;œl¹skie;Rybnik;44-251;Artyku³y biurowe;Papier;Xerox 1999;12,96;2;0;6,2208
96;PL-2021-085838;œredni;17.07.2021;19.07.2021;standardowy;œrednie pude³ko;korporacja;Andrzej Twarnowski;K02067;pó³nocno-zachodni;wielkopolskie;Po³ajewo;64-710;Artyku³y biurowe;Segregatory;Flexible Leather- Look Classic Collection Ring Binder;5,682;1;0,7;-3,788
97;PL-2021-085838;wysoki;17.07.2021;18.07.2021;kolejowy;wielkie pud³o;korporacja;Tadeusz Twomicki;K02067;pó³nocno-zachodni;wielkopolskie;Po³ajewo;64-710;Meble;Umeblowanie;9-3/4 Diameter Round Wall Clock;96,53;7;0;40,5426
98;PL-2021-085838;œredni;17.07.2021;19.07.2021;standardowy;œrednie pude³ko;korporacja;Micha³ Wertyk;K02067;pó³nocno-zachodni;wielkopolskie;Po³ajewo;64-710;Artyku³y biurowe;Segregatory;Trimflex Flexible Post Binders;51,312;3;0,2;17,9592
99;PL-2021-085838;nieokreœlony;17.07.2021;18.07.2021;standardowy;opakowanie;korporacja;Rafa³ Wobek;K02065;po³udniowy;œl¹skie;Orzesze;43-180;Artyku³y biurowe;Urz¹dzenia;Fellowes Basic Home/Office Series Surge Protectors;77,88;6;0;22,5852
100;PL-2021-085847;krytyczny;24.10.2021;25.10.2021;standardowy;worek;korporacja;Tadeusz Womor;K01798;po³udniowy;œl¹skie;Miasteczko Œl¹skie;42-610;Artyku³y biurowe;Papier;Avery Personal Creations Heavyweight Cards;64,624;7;0,2;22,6184
101;PL-2021-085847;œredni;24.10.2021;26.10.2021;standardowy;ma³e pude³ko;korporacja;Robert Wyszon;K01798;po³udniowy;œl¹skie;Miasteczko Œl¹skie;42-610;Technologia;Akcesoria;SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card;95,976;3;0,2;-10,7973
102;PL-2021-085849;nieokreœlony;04.11.2021;04.11.2021;standardowy;ma³e pude³ko;biuro;Robert Zamek;K02905;po³udniowy;ma³opolskie;Muszyna;33-370;Artyku³y biurowe;Segregatory;Avery Hidden Tab Dividers for Binding Systems;1,788;3;0,8;-3,0396
104;PL-2021-085852;wysoki;19.03.2021;20.03.2021;standardowy;opakowanie;korporacja;Tadeusz Zomornik;K03145;po³udniowy;œl¹skie;Szczyrk;43-370;Technologia;Akcesoria;Logitech K350 2.4Ghz Wireless Keyboard;238,896;6;0,2;-26,8758
120;PL-2021-085973;wysoki;22.10.2021;24.10.2021;standardowy;opakowanie;osoba fizyczna;Marzena Borowska;K00210;po³udniowy;ma³opolskie;Biecz;38-340;Meble;Umeblowanie;Artistic Insta-Plaque;47,04;3;0;18,3456
121;PL-2021-085983;œredni;13.09.2021;15.09.2021;ekspresowy;ma³e pude³ko;osoba fizyczna;Anna Borysiak;K03337;po³udniowo-zachodni;opolskie;Praszka;46-320;Artyku³y biurowe;Segregatory;DXL Angle-View Binders with Locking Rings by Samsill;30,84;4;0;13,878
